2, 655603.0470527649
2, 655603.0470527649// Mejor global
3, 632230.7695024923
3, 632230.7695024923// Mejor global
4, 602509.9523714938
4, 602509.9523714938// Mejor global
5, 582307.521406521
5, 582307.521406521// Mejor global
6, 561135.0085875011
6, 561135.0085875011// Mejor global
7, 547972.9367661776
7, 547972.9367661776// Mejor global
8, 537569.2242573147
8, 537569.2242573147// Mejor global
9, 522442.8918862921
9, 522442.8918862921// Mejor global
10, 507361.4497233291
10, 507361.4497233291// Mejor global
11, 494099.28324960545
11, 494099.28324960545// Mejor global
12, 474243.5845741543
12, 474243.5845741543// Mejor global
13, 464357.16665355186
13, 464357.16665355186// Mejor global
14, 454238.20373883547
14, 454238.20373883547// Mejor global
15, 442818.8897337274
15, 442818.8897337274// Mejor global
16, 434879.9122332239
16, 434879.9122332239// Mejor global
17, 425883.30715841893
17, 425883.30715841893// Mejor global
18, 416128.49530606245
18, 416128.49530606245// Mejor global
19, 407853.6251609022
19, 407853.6251609022// Mejor global
20, 399956.54639863333
20, 399956.54639863333// Mejor global
21, 393985.85246137984
21, 393985.85246137984// Mejor global
22, 390149.63239110535
22, 390149.63239110535// Mejor global
23, 383207.58647450036
23, 383207.58647450036// Mejor global
24, 379341.05023606564
24, 379341.05023606564// Mejor global
25, 372815.308731438
25, 372815.308731438// Mejor global
26, 362640.38689672714
26, 362640.38689672714// Mejor global
27, 358090.67537959205
27, 358090.67537959205// Mejor global
28, 352210.2760408429
28, 352210.2760408429// Mejor global
29, 348280.09535160847
29, 348280.09535160847// Mejor global
30, 344915.6706283734
30, 344915.6706283734// Mejor global
31, 340440.9836792854
31, 340440.9836792854// Mejor global
32, 337695.214138914
32, 337695.214138914// Mejor global
33, 332148.0453596191
33, 332148.0453596191// Mejor global
34, 329751.33732193
34, 329751.33732193// Mejor global
35, 319367.47079508315
35, 319367.47079508315// Mejor global
36, 314407.717750801
36, 314407.717750801// Mejor global
37, 311766.61826747184
37, 311766.61826747184// Mejor global
38, 311146.9481441328
38, 311146.9481441328// Mejor global
39, 304800.1302939378
39, 304800.1302939378// Mejor global
40, 301660.0767075434
40, 301660.0767075434// Mejor global
41, 298890.90328818583
41, 298890.90328818583// Mejor global
42, 294519.3057255461
42, 294519.3057255461// Mejor global
43, 292161.04961477226
43, 292161.04961477226// Mejor global
44, 289239.5752285329
44, 289239.5752285329// Mejor global
45, 285629.0244862118
45, 285629.0244862118// Mejor global
46, 285241.1948371795
46, 285241.1948371795// Mejor global
47, 282785.93030705105
47, 282785.93030705105// Mejor global
48, 282035.62772358645
48, 282035.62772358645// Mejor global
49, 280806.20181590936
49, 280806.20181590936// Mejor global
50, 280270.47223083524
50, 280270.47223083524// Mejor global
51, 279092.2058560797
51, 279092.2058560797// Mejor global
52, 278152.5863277434
52, 278152.5863277434// Mejor global
53, 276573.69453991915
53, 276573.69453991915// Mejor global
54, 273994.667433205
54, 273994.667433205// Mejor global
55, 271685.4547675534
55, 271685.4547675534// Mejor global
56, 271219.97942222503
56, 271219.97942222503// Mejor global
57, 270441.12832535885
57, 270441.12832535885// Mejor global
58, 268447.45965899585
58, 268447.45965899585// Mejor global
59, 265191.8947243794
59, 265191.8947243794// Mejor global
60, 264837.0711825549
60, 264837.0711825549// Mejor global
61, 262975.8598667637
61, 262975.8598667637// Mejor global
62, 261459.7442117736
62, 261459.7442117736// Mejor global
63, 260268.81822019053
63, 260268.81822019053// Mejor global
64, 259569.0973987888
64, 259569.0973987888// Mejor global
65, 257197.67798091192
65, 257197.67798091192// Mejor global
66, 256137.51488423353
66, 256137.51488423353// Mejor global
67, 255679.47530924453
67, 255679.47530924453// Mejor global
68, 255207.56568205642
68, 255207.56568205642// Mejor global
69, 253030.25199141057
69, 253030.25199141057// Mejor global
70, 252239.83114213246
70, 252239.83114213246// Mejor global
71, 251385.29426822744
71, 251385.29426822744// Mejor global
72, 251002.6671953437
72, 251002.6671953437// Mejor global
73, 250673.41273162005
73, 250673.41273162005// Mejor global
74, 250029.99977033387
74, 250029.99977033387// Mejor global
75, 249785.64794591584
75, 249785.64794591584// Mejor global
76, 249179.57162633515
76, 249179.57162633515// Mejor global
77, 248651.4889923882
77, 248651.4889923882// Mejor global
78, 247807.98169307678
78, 247807.98169307678// Mejor global
79, 247575.64449007504
79, 247575.64449007504// Mejor global
80, 247290.9409904412
80, 247290.9409904412// Mejor global
81, 246027.50970649632
81, 246027.50970649632// Mejor global
82, 245627.50970649632
82, 245627.50970649632// Mejor global
83, 244394.85886062024
83, 244394.85886062024// Mejor global
84, 244238.12583574973
84, 244238.12583574973// Mejor global
85, 243757.27557362514
85, 243757.27557362514// Mejor global
86, 243542.2578277568
86, 243542.2578277568// Mejor global
87, 243342.2578277568
87, 243342.2578277568// Mejor global
88, 241369.57496423493
88, 241369.57496423493// Mejor global
89, 240746.5130492406
89, 240746.5130492406// Mejor global
90, 240546.5130492406
90, 240546.5130492406// Mejor global
91, 240346.5130492406
91, 240346.5130492406// Mejor global
92, 240095.91837994158
92, 240095.91837994158// Mejor global
93, 239925.89824947724
93, 239925.89824947724// Mejor global
94, 239726.72151160278
94, 239726.72151160278// Mejor global
95, 239687.76608665465
95, 239687.76608665465// Mejor global
96, 239411.97407614702
96, 239411.97407614702// Mejor global
97, 239211.97407614702
97, 239211.97407614702// Mejor global
98, 238745.36015024575
98, 238745.36015024575// Mejor global
99, 237095.5759581996
99, 237095.5759581996// Mejor global
100, 236387.56111867877
100, 236387.56111867877// Mejor global
